자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
중랑구,면목5동,2697,160,771,156,216,380,933,81
중랑구,면목7동,5607,286,993,180,2626,397,1021,104
중랑구,면목본동,7231,348,2029,326,764,253,3397,114
중랑구,묵1동,9284,80,668,114,5593,363,2386,80
중랑구,묵2동,4507,118,853,163,1650,194,1399,130
중랑구,상봉1동,7493,159,475,93,5492,296,929,49
중랑구,상봉2동,3878,122,900,197,914,164,1452,129
중랑구,소계,99265,2548,15634,2973,50078,4943,21543,1546
중랑구,신내1동,12125,107,287,82,10842,229,524,54
중랑구,신내2동,8441,9,X,X,8425,X,X,X
중랑구,중화1동,5293,82,588,112,2120,626,1704,61
중랑구,중화2동,5183,233,1978,271,868,597,1094,142
